# Comments on shell extraction
#
# star_pos_pxl:[166.1, 169.1]  # position of star in original datacube pixel (y,x)
# star_pos_wcs:[-62.64006879, 98.9003431]  # position of star in J2000 (dec, ra)
# subcube_size:45  # size in arcsec of each axis of the subcube extracted from the original one.
# rest_line:5007.0  # rest wavelength of the line in angstrom
# wave_range:30  # the range of wavelength considered, centered at rest_line (lambda_blue = rest_line - wave_range/2, lambda_red = rest_line - wave_range/2)
# snr_threshold:3  # when extracting shell, select svoxels with snr greater or equal to this value
# bindata:True  # True if data was binned, False otherwise
# binsize: 2x2x1  # bin size used (x,y,z)
# pxl_scl:[0.4 0.4]  # pixel scale in arcsecs (y,x)
# wave_step:1.25  # wavelength step of the cube in angstrom
# minimum_adjacent_pixels:6  # when extracting shell, select those svoxels with at least this number of adjacent svoxels (after applying snr_threshold selection)
# flux_selection:0.1  # when extracting shell, select those svoxels wich flux is greater than flux_selection quantile (after applying minimum_adjacent_pixels selection)
# distance[pc]:501  # distance used to convert PPV into PPP in parsec
# tsn[yrs]:96.5503  # time since nova in years
# vsys[km/s]:1.8  # systemic velocity used to convert PPV into PPP in km/s
# expansion_history:"linear"  # expansion history model used during PPP conversion
# expansion_coeffs:[480]  # coefficients used during PPP conversion (model dependent)
#
# Comments on columns
#
# x,y,z_pxl: svoxel x,y and z position in pixels with respect the central star which is at 0,0,0
# x,y_arcsec: svoxel x and y position in arcsecs in the PPV space with respect the central star
# z_kms: svoxel velocity in km/s in the PPV space with respect the rest_line wavelength
# x,y,z_au: svoxel position in the PPP space in AU with respect the central star
# flux, flux_e: the flux and its uncertainty associated to the svoxel
# snr: lower limit for the signal to noise ratio associated to the svoxel
# belongs_to: if the svoxels belongs to the star, equatorial ring or polar filament
#
x_pxl,y_pxl,z_pxl,x_arcsec,y_arcsec,z_kms,x_au,y_au,z_au,flux,flux_e,snr,belongs_to
27.1,-41.8,-0.57,10.84,-16.72,-43.0,5431.0,-8377.0,-912.0,50.0,5.0,9.0,polar
28.1,-41.8,-0.57,11.24,-16.72,-43.0,5631.0,-8377.0,-912.0,31.0,5.0,6.0,polar
29.1,-41.8,-0.57,11.64,-16.72,-43.0,5832.0,-8377.0,-912.0,20.0,5.0,3.0,polar
30.1,-41.8,-0.57,12.04,-16.72,-43.0,6032.0,-8377.0,-912.0,53.0,5.0,10.0,polar
32.1,-41.8,-0.57,12.84,-16.72,-43.0,6433.0,-8377.0,-912.0,37.0,5.0,7.0,polar
26.1,-40.8,-0.57,10.44,-16.32,-43.0,5230.0,-8176.0,-912.0,63.0,5.0,10.0,polar
27.1,-40.8,-0.57,10.84,-16.32,-43.0,5431.0,-8176.0,-912.0,75.0,5.0,14.0,polar
28.1,-40.8,-0.57,11.24,-16.32,-43.0,5631.0,-8176.0,-912.0,35.0,5.0,6.0,polar
29.1,-40.8,-0.57,11.64,-16.32,-43.0,5832.0,-8176.0,-912.0,77.0,6.0,11.0,polar
31.1,-40.8,-0.57,12.44,-16.32,-43.0,6232.0,-8176.0,-912.0,41.0,5.0,7.0,polar
25.1,-39.8,-0.57,10.04,-15.92,-43.0,5030.0,-7976.0,-912.0,52.0,5.0,9.0,polar
27.1,-39.8,-0.57,10.84,-15.92,-43.0,5431.0,-7976.0,-912.0,78.0,5.0,14.0,polar
29.1,-39.8,-0.57,11.64,-15.92,-43.0,5832.0,-7976.0,-912.0,85.0,6.0,13.0,polar
30.1,-39.8,-0.57,12.04,-15.92,-43.0,6032.0,-7976.0,-912.0,78.0,5.0,13.0,polar
31.1,-39.8,-0.57,12.44,-15.92,-43.0,6232.0,-7976.0,-912.0,36.0,5.0,6.0,polar
32.1,-39.8,-0.57,12.84,-15.92,-43.0,6433.0,-7976.0,-912.0,21.0,5.0,4.0,polar
27.1,-38.8,-0.57,10.84,-15.52,-43.0,5431.0,-7776.0,-912.0,42.0,5.0,8.0,polar
30.1,-38.8,-0.57,12.04,-15.52,-43.0,6032.0,-7776.0,-912.0,50.0,5.0,8.0,polar
34.1,-38.8,-0.57,13.64,-15.52,-43.0,6834.0,-7776.0,-912.0,31.0,6.0,5.0,polar
36.1,-38.8,-0.57,14.44,-15.52,-43.0,7234.0,-7776.0,-912.0,68.0,5.0,11.0,polar
27.1,-37.8,-0.57,10.84,-15.12,-43.0,5431.0,-7575.0,-912.0,22.0,5.0,4.0,polar
29.1,-37.8,-0.57,11.64,-15.12,-43.0,5832.0,-7575.0,-912.0,48.0,5.0,8.0,polar
30.1,-37.8,-0.57,12.04,-15.12,-43.0,6032.0,-7575.0,-912.0,21.0,5.0,3.0,polar
34.1,-37.8,-0.57,13.64,-15.12,-43.0,6834.0,-7575.0,-912.0,60.0,5.0,10.0,polar
35.1,-37.8,-0.57,14.04,-15.12,-43.0,7034.0,-7575.0,-912.0,58.0,5.0,10.0,polar
29.1,-36.8,-0.57,11.64,-14.72,-43.0,5832.0,-7375.0,-912.0,20.0,5.0,3.0,polar
30.1,-36.8,-0.57,12.04,-14.72,-43.0,6032.0,-7375.0,-912.0,37.0,5.0,6.0,polar
35.1,-36.8,-0.57,14.04,-14.72,-43.0,7034.0,-7375.0,-912.0,90.0,5.0,16.0,polar
36.1,-36.8,-0.57,14.44,-14.72,-43.0,7234.0,-7375.0,-912.0,131.0,5.0,22.0,polar
29.1,-35.8,-0.57,11.64,-14.32,-43.0,5832.0,-7174.0,-912.0,36.0,5.0,6.0,polar
35.1,-35.8,-0.57,14.04,-14.32,-43.0,7034.0,-7174.0,-912.0,60.0,5.0,10.0,polar
36.1,-35.8,-0.57,14.44,-14.32,-43.0,7234.0,-7174.0,-912.0,50.0,5.0,8.0,polar
37.1,-35.8,-0.57,14.84,-14.32,-43.0,7435.0,-7174.0,-912.0,47.0,5.0,7.0,polar
39.1,-35.8,-0.57,15.64,-14.32,-43.0,7836.0,-7174.0,-912.0,26.0,5.0,4.0,polar
35.1,-34.8,-0.57,14.04,-13.92,-43.0,7034.0,-6974.0,-912.0,60.0,5.0,10.0,polar
36.1,-34.8,-0.57,14.44,-13.92,-43.0,7234.0,-6974.0,-912.0,45.0,5.0,7.0,polar
